mininet> h1 ping -c 100 h4 > ~/h1_ping_h4.log
PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=23.0 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=49.9 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=30.4 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=4.43 ms
64 bytes from 10.0.0.4: icmp_seq=5 ttl=64 time=30.4 ms
64 bytes from 10.0.0.4: icmp_seq=6 ttl=64 time=5.93 ms
64 bytes from 10.0.0.4: icmp_seq=7 ttl=64 time=5.75 ms
64 bytes from 10.0.0.4: icmp_seq=8 ttl=64 time=30.2 ms
64 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=7.38 ms
64 bytes from 10.0.0.4: icmp_seq=10 ttl=64 time=34.2 ms
64 bytes from 10.0.0.4: icmp_seq=11 ttl=64 time=13.9 ms
64 bytes from 10.0.0.4: icmp_seq=12 ttl=64 time=47.8 ms
64 bytes from 10.0.0.4: icmp_seq=13 ttl=64 time=25.3 ms
64 bytes from 10.0.0.4: icmp_seq=14 ttl=64 time=49.8 ms
64 bytes from 10.0.0.4: icmp_seq=15 ttl=64 time=28.3 ms
64 bytes from 10.0.0.4: icmp_seq=16 ttl=64 time=6.12 ms
64 bytes from 10.0.0.4: icmp_seq=17 ttl=64 time=30.9 ms
64 bytes from 10.0.0.4: icmp_seq=18 ttl=64 time=6.95 ms
64 bytes from 10.0.0.4: icmp_seq=19 ttl=64 time=34.6 ms
64 bytes from 10.0.0.4: icmp_seq=20 ttl=64 time=8.49 ms
64 bytes from 10.0.0.4: icmp_seq=21 ttl=64 time=32.9 ms
64 bytes from 10.0.0.4: icmp_seq=22 ttl=64 time=11.6 ms
64 bytes from 10.0.0.4: icmp_seq=23 ttl=64 time=40.2 ms
64 bytes from 10.0.0.4: icmp_seq=24 ttl=64 time=15.0 ms
64 bytes from 10.0.0.4: icmp_seq=25 ttl=64 time=45.9 ms
64 bytes from 10.0.0.4: icmp_seq=26 ttl=64 time=22.5 ms
64 bytes from 10.0.0.4: icmp_seq=27 ttl=64 time=46.4 ms
64 bytes from 10.0.0.4: icmp_seq=28 ttl=64 time=22.8 ms
64 bytes from 10.0.0.4: icmp_seq=29 ttl=64 time=48.9 ms
64 bytes from 10.0.0.4: icmp_seq=30 ttl=64 time=25.1 ms
64 bytes from 10.0.0.4: icmp_seq=31 ttl=64 time=52.6 ms
64 bytes from 10.0.0.4: icmp_seq=32 ttl=64 time=29.1 ms
64 bytes from 10.0.0.4: icmp_seq=33 ttl=64 time=6.12 ms
64 bytes from 10.0.0.4: icmp_seq=34 ttl=64 time=34.3 ms
64 bytes from 10.0.0.4: icmp_seq=35 ttl=64 time=12.4 ms
64 bytes from 10.0.0.4: icmp_seq=36 ttl=64 time=42.1 ms
64 bytes from 10.0.0.4: icmp_seq=37 ttl=64 time=20.7 ms
64 bytes from 10.0.0.4: icmp_seq=38 ttl=64 time=47.3 ms
64 bytes from 10.0.0.4: icmp_seq=39 ttl=64 time=21.9 ms
64 bytes from 10.0.0.4: icmp_seq=40 ttl=64 time=6.01 ms
64 bytes from 10.0.0.4: icmp_seq=41 ttl=64 time=35.6 ms
64 bytes from 10.0.0.4: icmp_seq=42 ttl=64 time=13.2 ms
64 bytes from 10.0.0.4: icmp_seq=43 ttl=64 time=38.3 ms
64 bytes from 10.0.0.4: icmp_seq=44 ttl=64 time=14.2 ms
64 bytes from 10.0.0.4: icmp_seq=45 ttl=64 time=40.5 ms
64 bytes from 10.0.0.4: icmp_seq=46 ttl=64 time=17.0 ms
64 bytes from 10.0.0.4: icmp_seq=47 ttl=64 time=44.5 ms
64 bytes from 10.0.0.4: icmp_seq=48 ttl=64 time=23.0 ms
64 bytes from 10.0.0.4: icmp_seq=49 ttl=64 time=49.5 ms
64 bytes from 10.0.0.4: icmp_seq=50 ttl=64 time=26.3 ms
64 bytes from 10.0.0.4: icmp_seq=51 ttl=64 time=12.3 ms
64 bytes from 10.0.0.4: icmp_seq=52 ttl=64 time=42.3 ms
64 bytes from 10.0.0.4: icmp_seq=53 ttl=64 time=33.3 ms
64 bytes from 10.0.0.4: icmp_seq=54 ttl=64 time=10.7 ms
64 bytes from 10.0.0.4: icmp_seq=55 ttl=64 time=36.9 ms
64 bytes from 10.0.0.4: icmp_seq=56 ttl=64 time=15.4 ms
64 bytes from 10.0.0.4: icmp_seq=57 ttl=64 time=41.3 ms
64 bytes from 10.0.0.4: icmp_seq=58 ttl=64 time=14.4 ms
64 bytes from 10.0.0.4: icmp_seq=59 ttl=64 time=40.3 ms
64 bytes from 10.0.0.4: icmp_seq=60 ttl=64 time=17.1 ms
64 bytes from 10.0.0.4: icmp_seq=61 ttl=64 time=44.2 ms
64 bytes from 10.0.0.4: icmp_seq=62 ttl=64 time=20.2 ms
64 bytes from 10.0.0.4: icmp_seq=63 ttl=64 time=50.8 ms
64 bytes from 10.0.0.4: icmp_seq=64 ttl=64 time=26.7 ms
64 bytes from 10.0.0.4: icmp_seq=65 ttl=64 time=53.9 ms
64 bytes from 10.0.0.4: icmp_seq=66 ttl=64 time=31.4 ms
64 bytes from 10.0.0.4: icmp_seq=67 ttl=64 time=6.41 ms
64 bytes from 10.0.0.4: icmp_seq=68 ttl=64 time=32.6 ms
64 bytes from 10.0.0.4: icmp_seq=69 ttl=64 time=11.6 ms
64 bytes from 10.0.0.4: icmp_seq=70 ttl=64 time=40.5 ms
64 bytes from 10.0.0.4: icmp_seq=71 ttl=64 time=14.2 ms
64 bytes from 10.0.0.4: icmp_seq=72 ttl=64 time=40.2 ms
64 bytes from 10.0.0.4: icmp_seq=73 ttl=64 time=17.8 ms
64 bytes from 10.0.0.4: icmp_seq=74 ttl=64 time=43.0 ms
64 bytes from 10.0.0.4: icmp_seq=75 ttl=64 time=20.7 ms
64 bytes from 10.0.0.4: icmp_seq=76 ttl=64 time=46.1 ms
64 bytes from 10.0.0.4: icmp_seq=77 ttl=64 time=27.9 ms
64 bytes from 10.0.0.4: icmp_seq=78 ttl=64 time=5.87 ms
64 bytes from 10.0.0.4: icmp_seq=79 ttl=64 time=30.9 ms
64 bytes from 10.0.0.4: icmp_seq=80 ttl=64 time=7.24 ms
64 bytes from 10.0.0.4: icmp_seq=81 ttl=64 time=32.3 ms
64 bytes from 10.0.0.4: icmp_seq=82 ttl=64 time=6.21 ms
64 bytes from 10.0.0.4: icmp_seq=83 ttl=64 time=31.1 ms
64 bytes from 10.0.0.4: icmp_seq=84 ttl=64 time=8.60 ms
64 bytes from 10.0.0.4: icmp_seq=85 ttl=64 time=39.5 ms
64 bytes from 10.0.0.4: icmp_seq=86 ttl=64 time=18.3 ms
64 bytes from 10.0.0.4: icmp_seq=87 ttl=64 time=44.0 ms
64 bytes from 10.0.0.4: icmp_seq=88 ttl=64 time=19.3 ms
64 bytes from 10.0.0.4: icmp_seq=89 ttl=64 time=47.8 ms
64 bytes from 10.0.0.4: icmp_seq=90 ttl=64 time=23.5 ms
64 bytes from 10.0.0.4: icmp_seq=91 ttl=64 time=50.3 ms
64 bytes from 10.0.0.4: icmp_seq=92 ttl=64 time=24.7 ms
64 bytes from 10.0.0.4: icmp_seq=93 ttl=64 time=4.45 ms
64 bytes from 10.0.0.4: icmp_seq=94 ttl=64 time=31.2 ms
64 bytes from 10.0.0.4: icmp_seq=95 ttl=64 time=6.42 ms
64 bytes from 10.0.0.4: icmp_seq=96 ttl=64 time=32.9 ms
64 bytes from 10.0.0.4: icmp_seq=97 ttl=64 time=8.30 ms
64 bytes from 10.0.0.4: icmp_seq=98 ttl=64 time=36.1 ms
64 bytes from 10.0.0.4: icmp_seq=99 ttl=64 time=14.8 ms
64 bytes from 10.0.0.4: icmp_seq=100 ttl=64 time=41.4 ms

--- 10.0.0.4 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99173ms
rtt min/avg/max/mdev = 4.434/27.210/53.970/14.525 ms
