NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=2.917s, table=0, n_packets=1, n_bytes=42, idle_timeout=15, hard_timeout=20, idle_age=2, priority=65535,arp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:05,dl_dst=00:00:00:00:00:02,arp_spa=10.0.0.5,arp_tpa=10.0.0.2,arp_op=2 actions=output:1
 cookie=0x0, duration=2.965s, table=0, n_packets=1, n_bytes=42, idle_timeout=15, hard_timeout=20, idle_age=2, priority=65535,arp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:05,dl_dst=00:00:00:00:00:01,arp_spa=10.0.0.5,arp_tpa=10.0.0.1,arp_op=2 actions=output:1
 cookie=0x0, duration=2.988s, table=0, n_packets=1, n_bytes=42, idle_timeout=15, hard_timeout=20, idle_age=2, priority=65535,arp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:01,arp_spa=10.0.0.3,arp_tpa=10.0.0.1,arp_op=2 actions=output:1
 cookie=0x0, duration=2.929s, table=0, n_packets=1, n_bytes=42, idle_timeout=15, hard_timeout=20, idle_age=2, priority=65535,arp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:04,dl_dst=00:00:00:00:00:02,arp_spa=10.0.0.4,arp_tpa=10.0.0.2,arp_op=2 actions=output:1
 cookie=0x0, duration=2.943s, table=0, n_packets=1, n_bytes=42, idle_timeout=15, hard_timeout=20, idle_age=2, priority=65535,arp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:02,arp_spa=10.0.0.3,arp_tpa=10.0.0.2,arp_op=2 actions=output:1
 cookie=0x0, duration=2.976s, table=0, n_packets=1, n_bytes=42, idle_timeout=15, hard_timeout=20, idle_age=2, priority=65535,arp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:04,dl_dst=00:00:00:00:00:01,arp_spa=10.0.0.4,arp_tpa=10.0.0.1,arp_op=2 actions=output:1
 cookie=0x0, duration=2.94s, table=0, n_packets=1, n_bytes=98, idle_timeout=15, hard_timeout=20, idle_age=2, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:02,dl_dst=00:00:00:00:00:03,nw_src=10.0.0.2,nw_dst=10.0.0.3,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.985s, table=0, n_packets=1, n_bytes=98, idle_timeout=15, hard_timeout=20, idle_age=2, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:03,nw_src=10.0.0.1,nw_dst=10.0.0.3,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.866s, table=0, n_packets=1, n_bytes=98, idle_timeout=15, hard_timeout=20, idle_age=2, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:04,dl_dst=00:00:00:00:00:02,nw_src=10.0.0.4,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=2.874s, table=0, n_packets=1, n_bytes=98, idle_timeout=15, hard_timeout=20, idle_age=2, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:04,nw_src=10.0.0.1,nw_dst=10.0.0.4,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.926s, table=0, n_packets=1, n_bytes=98, idle_timeout=15, hard_timeout=20, idle_age=2, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:02,dl_dst=00:00:00:00:00:04,nw_src=10.0.0.2,nw_dst=10.0.0.4,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.841s, table=0, n_packets=1, n_bytes=98, idle_timeout=15, hard_timeout=20, idle_age=2, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:05,nw_src=10.0.0.1,nw_dst=10.0.0.5,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.982s, table=0, n_packets=1, n_bytes=98, idle_timeout=15, hard_timeout=20, idle_age=2, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.3,nw_dst=10.0.0.1,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=2.843s, table=0, n_packets=1, n_bytes=98, idle_timeout=15, hard_timeout=20, idle_age=2, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:05,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.5,nw_dst=10.0.0.1,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=2.877s, table=0, n_packets=1, n_bytes=98, idle_timeout=15, hard_timeout=20, idle_age=2, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:04,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.4,nw_dst=10.0.0.1,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=2.962s, table=0, n_packets=1, n_bytes=98, idle_timeout=15, hard_timeout=20, idle_age=2, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:05,nw_src=10.0.0.1,nw_dst=10.0.0.5,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.937s, table=0, n_packets=1, n_bytes=98, idle_timeout=15, hard_timeout=20, idle_age=2, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:02,nw_src=10.0.0.3,nw_dst=10.0.0.2,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
